month,SP500 weight,Tbill weight,SP500 return (monthly),Tbill return (monthly),SP500 predicted return,portfolio_return,month_name
5,0.9985,0.0015,4.44888577994919,0.1683564399522042,0.835070407066591,4.442464985939195,May
6,0.99926,0.00074,4.35459665051916,0.1686569820386634,1.52483880001876,4.351499055164485,June
7,0.00135,0.99865,-0.61246195033926,0.1685068172828668,-0.57057315648803,0.1674525094465769,July
8,0.99954,0.00046,2.82499401483717,0.1695535414366964,2.33902825489032,2.823772512219406,August
9,0.03145,0.96855,3.31232204633591,0.1669933731804973,0.135199279562124,0.2659139599512351,September
10,0.99954,0.00046,2.3126165101503298,0.1603896726692908,2.3529869369751,2.311626485805089,October
11,0.99963,0.00037,5.70713084898142,0.1569261931080053,2.83191307395077,5.705077273258747,November
12,0.99942,0.00058,-2.58458153655998,0.1569261931080053,1.88873196000674,-2.582991462076772,December
1,0.9996,0.0004,2.24582649151388,0.1517716253332186,2.65593176832248,2.244988869567408,January
2,0.99957,0.00043,-3.1107713782439697,0.1501744937842844,2.49066872374399,-3.109369171518998,February
3,0.9995,0.0005,-3.8882215943414495,0.1505315249232804,2.13441721375158,-3.886202217781817,March
4,0.98372,0.01628,-1.07170693686671,0.1505315249232804,0.211941981015608,-1.051808894708769,April
